date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:15:44	72298/72298	---M-Z	200	added ('OK')	text/html	etag:%222cc25be-11a6a-610342d9ef580-gzip%22	https://gambolthemes.net/html-items/cursus-new-demo/index.html	C:/Users/Home/Downloads/project%20lib/gambolthemes.net/html-items/cursus-new-demo/index.html	(from )
13:15:45	165/165	---MC-	200	added ('OK')	text/plain	date:Wed,%2005%20Jun%202024%2014:16:01%20GMT	https://gambolthemes.net/robots.txt		(from )
13:15:46	1521/1521	---M--	200	added ('OK')	image/png	etag:%222cc258d-5f1-5a3af9f411480%22	https://gambolthemes.net/html-items/cursus-new-demo/images/fav.png	C:/Users/Home/Downloads/project%20lib/gambolthemes.net/html-items/cursus-new-demo/images/fav.png	(from https://gambolthemes.net/html-items/cursus-new-demo/index.html)
13:15:46	4373/4373	---M--	200	added ('OK')	text/css	etag:%222cc248d-1115-5ab50052b2400%22	https://gambolthemes.net/html-items/cursus-new-demo/css/vertical-responsive-menu.min.css	C:/Users/Home/Downloads/project%20lib/gambolthemes.net/html-items/cursus-new-demo/css/vertical-responsive-menu.min.css	(from https://gambolthemes.net/html-items/cursus-new-demo/index.html)
13:15:47	68597/68597	---M--	200	added ('OK')	text/css	etag:%222cc2a23-10bf5-5952143f2d380%22	https://gambolthemes.net/html-items/cursus-new-demo/vendor/unicons-2.0.1/css/unicons.css	C:/Users/Home/Downloads/project%20lib/gambolthemes.net/html-items/cursus-new-demo/vendor/unicons-2.0.1/css/unicons.css	(from https://gambolthemes.net/html-items/cursus-new-demo/index.html)
13:15:47	11278/11278	---M--	200	added ('OK')	text/css	etag:%222cc2488-2c0e-5c3a71c576e80%22	https://gambolthemes.net/html-items/cursus-new-demo/css/responsive.css	C:/Users/Home/Downloads/project%20lib/gambolthemes.net/html-items/cursus-new-demo/css/responsive.css	(from https://gambolthemes.net/html-items/cursus-new-demo/index.html)
13:15:48	146415/146415	---M--	200	added ('OK')	text/css	etag:%222cc248b-23bef-610332ff18d80%22	https://gambolthemes.net/html-items/cursus-new-demo/css/style.css	C:/Users/Home/Downloads/project%20lib/gambolthemes.net/html-items/cursus-new-demo/css/style.css	(from https://gambolthemes.net/html-items/cursus-new-demo/index.html)
13:15:50	55967/55967	---M--	200	added ('OK')	text/css	etag:%222cc2768-da9f-58a8b073bcc80%22	https://gambolthemes.net/html-items/cursus-new-demo/vendor/fontawesome-free/css/all.min.css	C:/Users/Home/Downloads/project%20lib/gambolthemes.net/html-items/cursus-new-demo/vendor/fontawesome-free/css/all.min.css	(from https://gambolthemes.net/html-items/cursus-new-demo/index.html)
13:15:50	54525/54525	---M--	200	added ('OK')	text/css	etag:%222cc2487-d4fd-610341e5cb580%22	https://gambolthemes.net/html-items/cursus-new-demo/css/night-mode.css	C:/Users/Home/Downloads/project%20lib/gambolthemes.net/html-items/cursus-new-demo/css/night-mode.css	(from https://gambolthemes.net/html-items/cursus-new-demo/index.html)
13:15:50	4733/4733	---M--	200	added ('OK')	text/css	etag:%222cc2609-127d-5958b72688b00%22	https://gambolthemes.net/html-items/cursus-new-demo/vendor/OwlCarousel/assets/owl.carousel.css	C:/Users/Home/Downloads/project%20lib/gambolthemes.net/html-items/cursus-new-demo/vendor/OwlCarousel/assets/owl.carousel.css	(from https://gambolthemes.net/html-items/cursus-new-demo/index.html)
